Architecture,Classes,Accuracy_vector,Precision_vector,Recall_vector,F1_vector,Accuracy_avg,Precision_Avg,Recall_Avg,F1_avg
AlexNet1,airplane-automobile,"[0.96250000000000002, 0.95050000000000001, 0.96450000000000002, 0.96299999999999997, 0.96150000000000002, 0.95950000000000002, 0.96599999999999997, 0.96499999999999997, 0.95950000000000002, 0.96450000000000002]","[0.94579989969909728, 0.9161721542803386, 0.95399743062692699, 0.93841988416988431, 0.94099901283316878, 0.94809565667011375, 0.94673622047244088, 0.95090909090909093, 0.93414520813165536, 0.94608572844400385]","[0.96099999999999997, 0.98199999999999998, 0.95099999999999996, 0.98099999999999998, 0.96799999999999997, 0.94299999999999995, 0.97399999999999998, 0.95999999999999996, 0.97599999999999998, 0.96899999999999997]","[0.96244366549824734, 0.95201163354338336, 0.96401419158641655, 0.96365422396856582, 0.96174863387978138, 0.95882053889171315, 0.96626984126984128, 0.96482412060301503, 0.96015740285292672, 0.96465903434544542]",0.96165,0.942136028624,0.9665,0.961860328644
AlexNet1,airplane-bird,"[0.91349999999999998, 0.91449999999999998, 0.91400000000000003, 0.89549999999999996, 0.90849999999999997, 0.91500000000000004, 0.92100000000000004, 0.91500000000000004, 0.89400000000000002, 0.91949999999999998]","[0.89159567567567577, 0.87389427740058201, 0.87023428571428574, 0.83605260831122896, 0.87575282631038032, 0.87938123752495012, 0.90190496760259187, 0.87342003853564543, 0.83635008976660674, 0.89211295336787555]","[0.876, 0.93000000000000005, 0.93899999999999995, 0.96099999999999997, 0.89500000000000002, 0.91600000000000004, 0.88400000000000001, 0.93400000000000005, 0.95099999999999996, 0.90200000000000002]","[0.91012987012987023, 0.915805022156573, 0.91609756097560979, 0.90192397935241675, 0.90724784591991892, 0.91508491508491496, 0.91796469366562827, 0.91658488714425901, 0.89971617786187319, 0.91806615776081424]",0.91105,0.873069896021,0.9188,0.911862111005
AlexNet1,airplane-cat,"[0.93999999999999995, 0.94550000000000001, 0.94399999999999995, 0.94699999999999995, 0.94299999999999995, 0.95099999999999996, 0.95099999999999996, 0.94699999999999995, 0.94850000000000001, 0.92900000000000005]","[0.90059701492537314, 0.92970542231491138, 0.92398360655737699, 0.91673887814313348, 0.90220810313075506, 0.92259399224806193, 0.92569783464566924, 0.92697148676171071, 0.92520129870129875, 0.88030270270270272]","[0.97599999999999998, 0.92500000000000004, 0.93200000000000005, 0.96399999999999997, 0.98599999999999999, 0.96699999999999997, 0.95899999999999996, 0.93799999999999994, 0.94899999999999995, 0.98399999999999999]","[0.94208494208494209, 0.94435936702399181, 0.94331983805668018, 0.94788593903638141, 0.94534995206136141, 0.95177165354330706, 0.95138888888888895, 0.94651866801210893, 0.94852573713143429, 0.93270142180094784]",0.9446,0.915400034013,0.958,0.945390640764
AlexNet1,airplane-deer,"[0.94950000000000001, 0.94999999999999996, 0.95399999999999996, 0.9395, 0.94199999999999995, 0.95999999999999996, 0.93999999999999995, 0.95150000000000001, 0.95899999999999996, 0.95950000000000002]","[0.94084652406417113, 0.91712523719165095, 0.93394377510040161, 0.89615205479452054, 0.90023302752293577, 0.93623781676413254, 0.89761467889908264, 0.91860927152317873, 0.92976711026615977, 0.93533933787731249]","[0.91700000000000004, 0.97699999999999998, 0.95199999999999996, 0.98699999999999999, 0.98699999999999999, 0.97299999999999998, 0.98499999999999999, 0.97999999999999998, 0.98499999999999999, 0.97299999999999998]","[0.94780361757105946, 0.95131450827653352, 0.95390781563126259, 0.94224343675417654, 0.94449760765550239, 0.96051332675222101, 0.94258373205741619, 0.95284394749635393, 0.9600389863547758, 0.9600394671928959]",0.9505,0.9205868834,0.9716,0.951578644574
AlexNet1,airplane-dog,"[0.96050000000000002, 0.96350000000000002, 0.95799999999999996, 0.96150000000000002, 0.94750000000000001, 0.96450000000000002, 0.95899999999999996, 0.95450000000000002, 0.95050000000000001, 0.96150000000000002]","[0.94466885743174922, 0.94766180904522601, 0.93751292246520879, 0.9385375609756097, 0.94118349619978292, 0.9521890927624872, 0.93444260700389092, 0.92231161473087819, 0.94371097954790106, 0.93935161606268369]","[0.95499999999999996, 0.96099999999999997, 0.96099999999999997, 0.97399999999999998, 0.90800000000000003, 0.95499999999999996, 0.97299999999999998, 0.98399999999999999, 0.91500000000000004, 0.97199999999999998]","[0.96028154851684266, 0.96340852130325816, 0.95812562313060812, 0.96197530864197522, 0.94534096824570546, 0.96415951539626454, 0.95956607495069024, 0.95580378824672174, 0.948678071539658, 0.96190004948045515]",0.9581,0.940157055623,0.9558,0.957923946945
AlexNet1,airplane-frog,"[0.96799999999999997, 0.96699999999999997, 0.96599999999999997, 0.96150000000000002, 0.95350000000000001, 0.96150000000000002, 0.92900000000000005, 0.97250000000000003, 0.96150000000000002, 0.96650000000000003]","[0.95302399999999998, 0.94900296442687737, 0.94631630648330045, 0.93262890995260661, 0.91842031686859271, 0.93035848172446101, 0.87650792253521126, 0.95534347399411179, 0.93110959548447791, 0.94392013552758947]","[0.96799999999999997, 0.97299999999999998, 0.97499999999999998, 0.98899999999999999, 0.98999999999999999, 0.995, 0.997, 0.98199999999999998, 0.99299999999999999, 0.98299999999999998]","[0.96799999999999997, 0.96719681908548705, 0.96630327056491561, 0.96253041362530423, 0.95513748191027492, 0.96274794388001927, 0.93352059925093633, 0.97275879148093103, 0.96267571497818716, 0.96704377766847027]",0.9607,0.9336632107,0.9845,0.961791481244
AlexNet1,airplane-horse,"[0.96799999999999997, 0.95450000000000002, 0.96250000000000002, 0.96699999999999997, 0.95750000000000002, 0.95850000000000002, 0.96050000000000002, 0.96199999999999997, 0.95750000000000002, 0.95599999999999996]","[0.95346292585170334, 0.9253039309683605, 0.95064102564102559, 0.94942970297029694, 0.92714454976303307, 0.94310783316378433, 0.93395821325648409, 0.93863035019455243, 0.93295121951219506, 0.94968017057569298]","[0.96699999999999997, 0.97599999999999998, 0.94999999999999996, 0.97199999999999998, 0.98499999999999999, 0.94999999999999996, 0.98099999999999998, 0.97599999999999998, 0.96999999999999997, 0.92500000000000004]","[0.96796796796796802, 0.95545766030347534, 0.96202531645569622, 0.96716417910447749, 0.95863746958637475, 0.95814422592032278, 0.96129348358647726, 0.96252465483234706, 0.9580246913580247, 0.95459236326109387]",0.9604,0.94043099219,0.9652,0.960583201238
AlexNet1,airplane-ship,"[0.90149999999999997, 0.91400000000000003, 0.92400000000000004, 0.92649999999999999, 0.93000000000000005, 0.91449999999999998, 0.92749999999999999, 0.91300000000000003, 0.92949999999999999, 0.90700000000000003]","[0.8507055813953488, 0.86482320441988958, 0.89105976095617523, 0.8883243503368623, 0.90328920570264759, 0.862453477868112, 0.90004587155963311, 0.87242315175097285, 0.89977532597793375, 0.85491590493601466]","[0.93899999999999995, 0.95699999999999996, 0.92600000000000005, 0.94599999999999995, 0.92100000000000004, 0.96799999999999997, 0.91800000000000004, 0.92700000000000005, 0.92800000000000005, 0.95399999999999996]","[0.90506024096385529, 0.91754554170661551, 0.92415169660678642, 0.92790583619421274, 0.92936427850655901, 0.91884195538680591, 0.92680464411913177, 0.91420118343195278, 0.92939409113670501, 0.9111747851002866]",0.91875,0.87878158349,0.9384,0.920444425315
AlexNet1,airplane-truck,"[0.93049999999999999, 0.9385, 0.93600000000000005, 0.94399999999999995, 0.94899999999999995, 0.94750000000000001, 0.93999999999999995, 0.93700000000000006, 0.94199999999999995, 0.91600000000000004]","[0.90494319344933472, 0.92017189132706378, 0.89565981308411224, 0.91757142857142859, 0.91760440613026817, 0.9187414800389484, 0.90127340823970037, 0.89664272388059696, 0.92839278131634817, 0.86390630630630616]","[0.91900000000000004, 0.91700000000000004, 0.97099999999999997, 0.94799999999999995, 0.97099999999999997, 0.96099999999999997, 0.97399999999999998, 0.97299999999999998, 0.91300000000000003, 0.97099999999999997]","[0.92969145169448664, 0.93714869698518133, 0.9381642512077295, 0.94422310756972117, 0.95009784735812131, 0.94819930932412422, 0.94197292069632499, 0.93918918918918914, 0.94026776519052524, 0.92037914691943123]",0.93805,0.906490743234,0.9518,0.938933368613
AlexNet1,automobile-bird,"[0.97999999999999998, 0.97350000000000003, 0.96899999999999997, 0.97750000000000004, 0.96650000000000003, 0.97899999999999998, 0.97699999999999998, 0.97499999999999998, 0.97399999999999998, 0.97299999999999998]","[0.96499999999999997, 0.95807502467917072, 0.9431916508538899, 0.96472249752229933, 0.93836050895381717, 0.96712003968253968, 0.96879251012145762, 0.95826810176125243, 0.9572705882352941, 0.96340567951318457]","[0.99199999999999999, 0.97999999999999998, 0.996, 0.98199999999999998, 0.997, 0.98299999999999998, 0.97099999999999997, 0.98599999999999999, 0.98399999999999999, 0.96599999999999997]","[0.98023715415019763, 0.97367113760556379, 0.96981499513145086, 0.9776007964161274, 0.96749150897622505, 0.97908366533864533, 0.97686116700201209, 0.97527200791295754, 0.97425742574257412, 0.97280966767371602]",0.97445,0.958420660132,0.9837,0.974709952595
