Architecture,Classes,Accuracy_vector,Precision_vector,Recall_vector,F1_vector,Accuracy_avg,Precision_Avg,Recall_Avg,F1_avg
MiniGoogLeNet1,airplane-automobile,"[0.97150000000000003, 0.97150000000000003, 0.96599999999999997, 0.95599999999999996, 0.80249999999999999, 0.96150000000000002, 0.96199999999999997, 0.96350000000000002, 0.95650000000000002, 0.92949999999999999]","[0.95306402737047891, 0.95739730807577272, 0.95146680080482882, 0.9478054968287527, 0.80150656814449917, 0.94697563451776645, 0.94659999999999989, 0.95163971340839304, 0.94464901349948083, 0.92319096045197746]","[0.98299999999999998, 0.97299999999999998, 0.96299999999999997, 0.92900000000000005, 0.60699999999999998, 0.95399999999999996, 0.95699999999999996, 0.95199999999999996, 0.93799999999999994, 0.872]","[0.97182402372713783, 0.97154268597104343, 0.96589769307923767, 0.95477903391572472, 0.75450590428837783, 0.96120906801007544, 0.96180904522613064, 0.96307536671724836, 0.95568008150789607, 0.92519893899204242]",0.94405,0.93242955231,0.9128,0.938552184143
MiniGoogLeNet1,airplane-bird,"[0.93300000000000005, 0.9325, 0.91100000000000003, 0.92149999999999999, 0.91649999999999998, 0.91200000000000003, 0.90200000000000002, 0.91749999999999998, 0.92149999999999999, 0.91849999999999998]","[0.90398900000000004, 0.89874390243902447, 0.85934426229508187, 0.89111776649746188, 0.8812033898305085, 0.8828166666666668, 0.88056000000000001, 0.88571065989847719, 0.89334224049331956, 0.88180394088669956]","[0.93300000000000005, 0.94499999999999995, 0.95999999999999996, 0.91400000000000003, 0.91800000000000004, 0.89200000000000002, 0.85199999999999998, 0.91000000000000003, 0.90800000000000003, 0.92600000000000005]","[0.93300000000000005, 0.93333333333333335, 0.91515729265967571, 0.92090680100755662, 0.91662506240639041, 0.91020408163265321, 0.89684210526315788, 0.91687657430730474, 0.92042574759249873, 0.9191066997518611]",0.9186,0.885863182901,0.9158,0.918247769795
MiniGoogLeNet1,airplane-cat,"[0.95750000000000002, 0.95850000000000002, 0.748, 0.95599999999999996, 0.95250000000000001, 0.95299999999999996, 0.94750000000000001, 0.95650000000000002, 0.95050000000000001, 0.94950000000000001]","[0.93176285160038796, 0.93595821042281213, 0.74700800000000001, 0.94104918032786877, 0.94020637408568453, 0.9329476861167002, 0.91798496605237623, 0.93726930792377128, 0.93045753286147614, 0.92659840159840157]","[0.97299999999999998, 0.96699999999999997, 0.498, 0.94399999999999995, 0.93100000000000005, 0.94999999999999996, 0.96299999999999997, 0.95499999999999996, 0.94499999999999995, 0.94999999999999996]","[0.95814869522402768, 0.95884977689638073, 0.66400000000000003, 0.95546558704453433, 0.95145631067961178, 0.95285857572718147, 0.94830132939438694, 0.95643465197796695, 0.95022624434389136, 0.94952523738130934]",0.93295,0.914124251099,0.9076,0.924526640867
MiniGoogLeNet1,airplane-deer,"[0.96450000000000002, 0.97099999999999997, 0.96250000000000002, 0.96399999999999997, 0.96350000000000002, 0.95999999999999996, 0.96750000000000003, 0.96099999999999997, 0.96299999999999997, 0.95950000000000002]","[0.94996972754793141, 0.957341, 0.94241115498519257, 0.93941425818882451, 0.94636763236763233, 0.94724845995893214, 0.94823110893032392, 0.94387449799196776, 0.94716297786720316, 0.93776995073891611]","[0.95999999999999996, 0.97099999999999997, 0.96899999999999997, 0.98299999999999998, 0.96399999999999997, 0.94699999999999995, 0.97699999999999998, 0.95899999999999996, 0.95999999999999996, 0.96699999999999997]","[0.96433952787543942, 0.97099999999999997, 0.96274217585692989, 0.9646712463199214, 0.96351824087956017, 0.95947315096251251, 0.96780584447746398, 0.96092184368737465, 0.96288866599799383, 0.95980148883374672]",0.96365,0.945979076858,0.9657,0.963716218489
MiniGoogLeNet1,airplane-dog,"[0.97050000000000003, 0.96799999999999997, 0.96999999999999997, 0.95899999999999996, 0.95899999999999996, 0.96850000000000003, 0.95750000000000002, 0.96799999999999997, 0.96850000000000003, 0.96350000000000002]","[0.95684184184184184, 0.95795092024539885, 0.96320247933884295, 0.93130172413793111, 0.95458653846153851, 0.95528952668680756, 0.94977032734952493, 0.95479032258064522, 0.95983299075025696, 0.95299845520082394]","[0.96999999999999997, 0.95699999999999996, 0.95399999999999996, 0.98099999999999998, 0.92700000000000005, 0.96499999999999997, 0.93100000000000005, 0.96399999999999997, 0.95499999999999996, 0.94899999999999995]","[0.97048524262131075, 0.96764408493427712, 0.96951219512195119, 0.95988258317025443, 0.95764462809917361, 0.9683893627696939, 0.95634309193631228, 0.96787148594377526, 0.96806893056259502, 0.96296296296296291]",0.96525,0.953656512659,0.9553,0.964880456812
MiniGoogLeNet1,airplane-frog,"[0.97950000000000004, 0.97150000000000003, 0.96550000000000002, 0.91300000000000003, 0.97199999999999998, 0.97099999999999997, 0.97550000000000003, 0.96799999999999997, 0.96899999999999997, 0.97099999999999997]","[0.96807199602780525, 0.95221762414800404, 0.94415512195121942, 0.91052990430622016, 0.957455268389662, 0.95214160156249994, 0.96272537313432827, 0.94999999999999996, 0.95986987704918025, 0.96003542510121465]","[0.98299999999999998, 0.98499999999999999, 0.97799999999999998, 0.83099999999999996, 0.97499999999999998, 0.98299999999999998, 0.97799999999999998, 0.97499999999999998, 0.95699999999999996, 0.96499999999999997]","[0.97957149975087199, 0.97187962506166758, 0.96592592592592585, 0.90522875816993464, 0.97208374875373882, 0.9713438735177865, 0.9755610972568578, 0.96822244289970205, 0.96862348178137647, 0.97082494969818911]",0.9656,0.951720219167,0.961,0.964926540282
MiniGoogLeNet1,airplane-horse,"[0.97250000000000003, 0.96850000000000003, 0.96699999999999997, 0.96250000000000002, 0.96650000000000003, 0.9425, 0.96650000000000003, 0.95999999999999996, 0.96250000000000002, 0.95899999999999996]","[0.95839552238805981, 0.95753814852492369, 0.95028827037773356, 0.94709889001009084, 0.95065484515484511, 0.90272011121408702, 0.9569110996916752, 0.94814432989690722, 0.94797365754812557, 0.94145271629778671]","[0.97499999999999998, 0.95999999999999996, 0.96999999999999997, 0.95799999999999996, 0.96699999999999997, 0.98199999999999998, 0.95299999999999996, 0.94499999999999995, 0.95599999999999996, 0.95599999999999996]","[0.972568578553616, 0.96822995461422079, 0.96709870388833497, 0.96233048719236569, 0.96651674162918533, 0.94468494468494457, 0.96604156107450567, 0.95939086294416243, 0.96225465525918474, 0.95887662988966904]",0.96275,0.94611775911,0.9622,0.962799311973
MiniGoogLeNet1,airplane-ship,"[0.94899999999999995, 0.94450000000000001, 0.93700000000000006, 0.92300000000000004, 0.88949999999999996, 0.93000000000000005, 0.92200000000000004, 0.90949999999999998, 0.91749999999999998, 0.92000000000000004]","[0.92772681451612904, 0.91652753195673542, 0.90757821782178216, 0.8897161354581673, 0.87819649334945593, 0.90640786749482405, 0.887320792079208, 0.87362235649546816, 0.89126963350785349, 0.88396449704142011]","[0.94499999999999995, 0.95299999999999996, 0.94199999999999995, 0.92500000000000004, 0.80300000000000005, 0.91300000000000003, 0.92700000000000005, 0.90600000000000003, 0.89500000000000002, 0.92700000000000005]","[0.9487951807228916, 0.94496777392166575, 0.9373134328358208, 0.92315369261477043, 0.87903667214012038, 0.92878942014242127, 0.92238805970149262, 0.90918213748118415, 0.9156010230179028, 0.9205561072492553]",0.9242,0.896233033972,0.9136,0.922978349983
MiniGoogLeNet1,airplane-truck,"[0.95099999999999996, 0.9365, 0.91349999999999998, 0.95099999999999996, 0.9395, 0.89949999999999997, 0.95050000000000001, 0.95550000000000002, 0.95199999999999996, 0.94699999999999995]","[0.94096716101694922, 0.93018798665183544, 0.85478658008658015, 0.92070249520153546, 0.93131653888280397, 0.89654438964241678, 0.92881093279839511, 0.93838984771573597, 0.93575770020533877, 0.91786673151750975]","[0.92300000000000004, 0.88600000000000001, 0.99099999999999999, 0.97199999999999998, 0.89600000000000002, 0.80500000000000005, 0.94899999999999995, 0.94799999999999995, 0.93899999999999995, 0.96099999999999997]","[0.94958847736625518, 0.93312269615587151, 0.9197215777262181, 0.95200783545543577, 0.93674856246732874, 0.88901159580342359, 0.95042563845768657, 0.95516372795969773, 0.95136778115501519, 0.94773175542406307]",0.9396,0.919533036372,0.927,0.938488964797
MiniGoogLeNet1,automobile-bird,"[0.98299999999999998, 0.98050000000000004, 0.97950000000000004, 0.98150000000000004, 0.97699999999999998, 0.97399999999999998, 0.97650000000000003, 0.97450000000000003, 0.96650000000000003, 0.97650000000000003]","[0.97247920792079201, 0.96861819980217601, 0.96582694198623398, 0.96916600985221679, 0.96288757396449698, 0.95386872586872584, 0.95847526673132877, 0.95907290640394083, 0.94230115273775206, 0.96063222331047982]","[0.98799999999999999, 0.98599999999999999, 0.98799999999999999, 0.98899999999999999, 0.98399999999999999, 0.99199999999999999, 0.99199999999999999, 0.98199999999999998, 0.98699999999999999, 0.98699999999999999]","[0.98308457711442776, 0.98060666335156632, 0.97967278135845315, 0.98163771712158809, 0.97715988083416072, 0.97445972495088418, 0.97685869030034467, 0.97468982630272949, 0.96717295443410078, 0.97674418604651159]",0.97695,0.961332820858,0.9875,0.977208700181
