Architecture,Classes,Accuracy_vector,Precision_vector,Recall_vector,F1_vector,Accuracy_avg,Precision_Avg,Recall_Avg,F1_avg
MiniVGG1,airplane-automobile,"[0.97550000000000003, 0.97050000000000003, 0.97650000000000003, 0.97550000000000003, 0.97150000000000003, 0.97399999999999998, 0.96450000000000002, 0.97150000000000003, 0.97199999999999998, 0.96750000000000003]","[0.96317397806580263, 0.95639910089910085, 0.96598545636910726, 0.9613902077151335, 0.95434611602753194, 0.95945148514851475, 0.94608572844400385, 0.9565168818272094, 0.95527559055118105, 0.94739247311827968]","[0.97699999999999998, 0.97099999999999997, 0.97499999999999998, 0.98099999999999998, 0.97999999999999998, 0.97899999999999998, 0.96899999999999997, 0.97499999999999998, 0.97999999999999998, 0.97899999999999998]","[0.97553669495756368, 0.97051474262868564, 0.97646469704556837, 0.97563401292889107, 0.97174020823004459, 0.97412935323383076, 0.96465903434544542, 0.97159940209267559, 0.9722222222222221, 0.96786950074147304]",0.9719,0.956601701817,0.9766,0.972036986843
MiniVGG1,airplane-bird,"[0.92149999999999999, 0.92000000000000004, 0.92349999999999999, 0.91700000000000004, 0.93000000000000005, 0.90349999999999997, 0.92900000000000005, 0.91149999999999998, 0.92549999999999999, 0.91100000000000003]","[0.88043696275071626, 0.87799999999999989, 0.89346453900709222, 0.87732427184466033, 0.89770750988142289, 0.84698840321141833, 0.90541390041493774, 0.85843913435527508, 0.88600382775119613, 0.86104419889502759]","[0.94499999999999995, 0.94499999999999995, 0.91700000000000004, 0.93200000000000005, 0.93600000000000005, 0.96399999999999997, 0.91100000000000003, 0.96599999999999997, 0.94799999999999995, 0.95399999999999996]","[0.92330239374694667, 0.92195121951219505, 0.92299949672873682, 0.9182266009852218, 0.93041749502982118, 0.90900518623290905, 0.92769857433808556, 0.91607396870554769, 0.92713936430317834, 0.91466922339405565]",0.91925,0.878482274811,0.9418,0.921148352298
MiniVGG1,airplane-cat,"[0.93899999999999995, 0.95099999999999996, 0.91749999999999998, 0.96099999999999997, 0.95099999999999996, 0.9395, 0.93149999999999999, 0.94999999999999996, 0.94550000000000001, 0.95299999999999996]","[0.89860873605947966, 0.92032854406130271, 0.86098253275109171, 0.94259680638722554, 0.93562500000000004, 0.8977778801843318, 0.88424977375565605, 0.92391944990176822, 0.91194947569113449, 0.92808055009823187]","[0.97699999999999998, 0.97299999999999998, 0.98999999999999999, 0.96199999999999997, 0.93500000000000005, 0.98199999999999998, 0.98399999999999999, 0.95899999999999996, 0.96999999999999997, 0.96199999999999997]","[0.94123314065510599, 0.95205479452054798, 0.92307692307692313, 0.96103896103896103, 0.95020325203252043, 0.94196642685851328, 0.93491686460807599, 0.95044598612487607, 0.94680331869204493, 0.95341922695738357]",0.9439,0.910411874889,0.9694,0.945515889456
MiniVGG1,airplane-deer,"[0.85499999999999998, 0.9365, 0.90700000000000003, 0.87549999999999994, 0.93500000000000005, 0.89900000000000002, 0.90149999999999997, 0.88649999999999995, 0.94850000000000001, 0.84999999999999998]","[0.77534549689441001, 0.89005545536519381, 0.84483873720136526, 0.80136825141015311, 0.88828068592057763, 0.83261120401337796, 0.83655644481887115, 0.81619835390946505, 0.91312535211267609, 0.76966769706336935]","[0.999, 0.99099999999999999, 0.99299999999999999, 0.996, 0.98899999999999999, 0.997, 0.995, 0.99399999999999999, 0.98099999999999998, 0.997]","[0.87325174825174834, 0.9397818871503083, 0.91436464088397784, 0.88888888888888884, 0.93833017077798864, 0.90801457194899826, 0.9099222679469593, 0.89751693002257338, 0.95012106537530261, 0.8692240627724499]",0.89945,0.836804767871,0.9932,0.908941623402
MiniVGG1,airplane-dog,"[0.95599999999999996, 0.94350000000000001, 0.95450000000000002, 0.93000000000000005, 0.95699999999999996, 0.92300000000000004, 0.96399999999999997, 0.95750000000000002, 0.9395, 0.95799999999999996]","[0.92603428571428559, 0.90506057781919846, 0.9253039309683605, 0.88038461538461532, 0.92970327552986509, 0.86845526315789479, 0.94729599999999992, 0.93019971126082779, 0.89551000909918121, 0.93305058365758753]","[0.98099999999999998, 0.97999999999999998, 0.97599999999999998, 0.98899999999999999, 0.97599999999999998, 0.99299999999999999, 0.96399999999999997, 0.97699999999999998, 0.98899999999999999, 0.97199999999999998]","[0.95707317073170728, 0.94548962855764584, 0.95545766030347534, 0.93389990557129376, 0.95780176643768389, 0.92803738317757012, 0.96399999999999997, 0.95831289847964696, 0.94235350166746079, 0.95857988165680474]",0.9483,0.914099825259,0.9797,0.950100579658
MiniVGG1,airplane-frog,"[0.96499999999999997, 0.9345, 0.96450000000000002, 0.9355, 0.94499999999999995, 0.94550000000000001, 0.93999999999999995, 0.92400000000000004, 0.97150000000000003, 0.94199999999999995]","[0.9364858490566037, 0.88506355555555549, 0.93754043767840145, 0.8872408400357461, 0.9021960072595282, 0.90367092069279853, 0.89378815080789953, 0.86914685314685314, 0.95348971596474053, 0.89764014466546116]","[0.995, 0.997, 0.98999999999999999, 0.995, 0.996, 0.99399999999999999, 0.997, 0.996, 0.98199999999999998, 0.995]","[0.96601941747572806, 0.9383529411764705, 0.96538274012676739, 0.93912222746578577, 0.94766888677450056, 0.94802098235574628, 0.94323557237464517, 0.92910447761194026, 0.97179614052449292, 0.94491927825261146]",0.94675,0.906626247486,0.9937,0.949362266414
MiniVGG1,airplane-horse,"[0.95699999999999996, 0.94999999999999996, 0.96099999999999997, 0.95599999999999996, 0.96650000000000003, 0.94999999999999996, 0.95899999999999996, 0.96099999999999997, 0.96250000000000002, 0.96199999999999997]","[0.92778339694656498, 0.91531954887218048, 0.93967421259842521, 0.92832369942196524, 0.94432880698351107, 0.91425233644859816, 0.93850892857142854, 0.93844618395303325, 0.94451645064805589, 0.94359362549800796]","[0.98099999999999998, 0.98199999999999998, 0.96899999999999997, 0.97499999999999998, 0.98199999999999998, 0.98499999999999999, 0.96299999999999997, 0.97199999999999998, 0.96399999999999997, 0.96399999999999997]","[0.9580078125, 0.95155038759689925, 0.96130952380952372, 0.95682041216879288, 0.96701132447070404, 0.95169082125603865, 0.95916334661354585, 0.96142433234421365, 0.96255616575137304, 0.96207584830339321]",0.9585,0.933474718994,0.9737,0.959160997481
MiniVGG1,airplane-ship,"[0.86950000000000005, 0.874, 0.87150000000000005, 0.89649999999999996, 0.88900000000000001, 0.89449999999999996, 0.85099999999999998, 0.89449999999999996, 0.91000000000000003, 0.88049999999999995]","[0.7971205761316873, 0.80434563758389255, 0.80047339983374899, 0.83874352100089367, 0.82770510563380273, 0.83461120917917042, 0.77250866141732277, 0.83911896080218784, 0.86151769087523267, 0.8120164003364172]","[0.97699999999999998, 0.96999999999999997, 0.97299999999999998, 0.95599999999999996, 0.95699999999999996, 0.96099999999999997, 0.98599999999999999, 0.94299999999999995, 0.94699999999999995, 0.97499999999999998]","[0.88216704288939052, 0.88503649635036497, 0.88334089877439859, 0.90231241151486552, 0.89606741573033699, 0.90107829348335688, 0.86872246696035227, 0.89938006676204096, 0.91321118611378971, 0.89081772498857914]",0.8831,0.818816116279,0.9645,0.892213400357
MiniVGG1,airplane-truck,"[0.91700000000000004, 0.93300000000000005, 0.93700000000000006, 0.92949999999999999, 0.92249999999999999, 0.92600000000000005, 0.90449999999999997, 0.9355, 0.91949999999999998, 0.90849999999999997]","[0.86431451612903221, 0.89852815533980579, 0.89832015065913362, 0.88960331753554511, 0.87397219690063821, 0.87949174311926592, 0.84269656652360525, 0.89820694576593718, 0.86645547640249321, 0.85024496937882765]","[0.97499999999999998, 0.94799999999999995, 0.96799999999999997, 0.95699999999999996, 0.97099999999999997, 0.97099999999999997, 0.98699999999999999, 0.96099999999999997, 0.98099999999999998, 0.97999999999999998]","[0.92155009451795844, 0.93399014778325118, 0.93889427740058184, 0.93138686131386861, 0.92608488316642834, 0.92918660287081334, 0.91177829099307162, 0.93710385177961975, 0.92416391898257177, 0.91460569295380312]",0.9233,0.876183403775,0.9699,0.926874462176
MiniVGG1,automobile-bird,"[0.97150000000000003, 0.97350000000000003, 0.95899999999999996, 0.95099999999999996, 0.97499999999999998, 0.96150000000000002, 0.96799999999999997, 0.96850000000000003, 0.96599999999999997, 0.95450000000000002]","[0.96190691759918612, 0.95677183513248276, 0.92639813084112155, 0.9114241316270566, 0.95957185039370074, 0.93110959548447791, 0.94705836575875491, 0.94591080038572795, 0.95595277207392204, 0.91693801652892559]","[0.96299999999999997, 0.98299999999999998, 0.99399999999999999, 0.998, 0.98299999999999998, 0.99299999999999999, 0.98199999999999998, 0.98699999999999999, 0.95299999999999996, 0.999]","[0.97125567322239037, 0.97374938088162455, 0.96038647342995176, 0.953199617956065, 0.97519841269841268, 0.96267571497818716, 0.96844181459566081, 0.96907216494845361, 0.96555217831813578, 0.95643848731450465]",0.96485,0.941304241583,0.9835,0.965596991834
