Architecture,Classes,Accuracy_vector,Precision_vector,Recall_vector,F1_vector,Accuracy_avg,Precision_Avg,Recall_Avg,F1_avg
ResNet10,airplane-automobile,"[0.942, 0.939, 0.93, 0.9275, 0.916, 0.9315, 0.915, 0.915, 0.9165, 0.918]","[0.9203510204081633, 0.9051657032755298, 0.8934749034749034, 0.8923973607038123, 0.8688327137546469, 0.8995528134254688, 0.8915010683760684, 0.8753606237816765, 0.8872719298245614, 0.8929199999999999]","[0.932, 0.958, 0.948, 0.939, 0.954, 0.938, 0.883, 0.928, 0.901, 0.893]","[0.9414141414141414, 0.9401373895976447, 0.931237721021611, 0.9283242708848244, 0.9190751445086704, 0.9319423745653252, 0.9121900826446281, 0.9160908193484699, 0.915185373285932, 0.9158974358974359]",0.9250499999999999,0.8926828137024831,0.9274000000000001,0.9251494753168682
ResNet10,airplane-bird,"[0.89, 0.889, 0.8935, 0.882, 0.875, 0.8895, 0.8855, 0.888, 0.863, 0.8925]","[0.8614113785557986, 0.8492249488752557, 0.8526837865055388, 0.835765873015873, 0.8245614035087718, 0.8463086913086912, 0.8409157527417747, 0.852801687763713, 0.820496835443038, 0.8517053481331989]","[0.847, 0.878, 0.89, 0.886, 0.888, 0.89, 0.887, 0.862, 0.837, 0.888]","[0.8850574712643677, 0.8877654196157735, 0.8931259407927747, 0.8824701195219122, 0.8766041461006909, 0.8895552223888056, 0.8856714927608588, 0.8850102669404517, 0.8593429158110882, 0.8920140632847816]",0.8847999999999999,0.8435875705851654,0.8753,0.8836617058481506
ResNet10,airplane-cat,"[0.9245, 0.9325, 0.935, 0.926, 0.932, 0.925, 0.9135, 0.918, 0.929, 0.9225]","[0.8897871921182265, 0.8980344995140912, 0.9059711155378486, 0.89022265625, 0.8923931947069943, 0.8990960743801653, 0.8869209694415174, 0.880972440944882, 0.8970803571428572, 0.8950875386199795]","[0.932, 0.947, 0.937, 0.938, 0.961, 0.909, 0.888, 0.926, 0.933, 0.908]","[0.9250620347394541, 0.933464760965993, 0.935129740518962, 0.9268774703557312, 0.9339164237123421, 0.923780487804878, 0.9112365315546433, 0.9186507936507937, 0.9292828685258964, 0.9213597158802638]",0.9258,0.893556603865656,0.9279,0.925876082770896
ResNet10,airplane-deer,"[0.9475, 0.9125, 0.943, 0.93, 0.917, 0.936, 0.9355, 0.9355, 0.9385, 0.9365]","[0.9234072781655036, 0.8553790534618757, 0.921754081632653, 0.883090909090909, 0.8763465250965251, 0.9111869918699187, 0.899243062200957, 0.900996618357488, 0.9210152151101785, 0.9128692543411645]","[0.949, 0.983, 0.933, 0.98, 0.935, 0.928, 0.958, 0.953, 0.915, 0.926]","[0.947578632051922, 0.9182624941616068, 0.9424242424242424, 0.9333333333333333, 0.918467583497053, 0.9354838709677419, 0.9369193154034229, 0.9366093366093367, 0.9370199692780339, 0.9358261748357758]",0.9332,0.9005288989327174,0.946,0.9341924952562468
ResNet10,airplane-dog,"[0.948, 0.9515, 0.936, 0.947, 0.9345, 0.9475, 0.9445, 0.9475, 0.943, 0.9475]","[0.924704, 0.9361238390092881, 0.9224043010752688, 0.9221172962226639, 0.91411157455683, 0.9312694300518134, 0.9157664054848187, 0.9299871266735324, 0.922987679671458, 0.9168611378977821]","[0.948, 0.936, 0.901, 0.95, 0.914, 0.93, 0.955, 0.933, 0.93, 0.966]","[0.948, 0.9507364144235654, 0.9336787564766839, 0.9471585244267198, 0.9331291475242469, 0.9465648854961832, 0.9450766947055913, 0.9467275494672756, 0.9422492401215806, 0.9484536082474228]",0.9446999999999999,0.9236332790643456,0.9362999999999999,0.9441774820889268
ResNet10,airplane-frog,"[0.9555, 0.962, 0.9555, 0.946, 0.961, 0.956, 0.9485, 0.952, 0.9655, 0.9575]","[0.9396807967313585, 0.9474746450304259, 0.9313616290480864, 0.9396840958605664, 0.9421743027888447, 0.9388884381338742, 0.9301376663254862, 0.9224461538461538, 0.9505291457286433, 0.9353701875616979]","[0.945, 0.955, 0.965, 0.905, 0.963, 0.949, 0.937, 0.972, 0.963, 0.964]","[0.9550277918140475, 0.9617321248741187, 0.9559187716691431, 0.9436913451511991, 0.9610778443113773, 0.9556898288016112, 0.9479008598887203, 0.9529411764705882, 0.9654135338345865, 0.9577744659711872]",0.95595,0.9377747061055137,0.9517999999999999,0.9557167742786581
ResNet10,airplane-horse,"[0.9415, 0.934, 0.929, 0.9345, 0.936, 0.9355, 0.94, 0.936, 0.9315, 0.93]","[0.9186406091370558, 0.9057334669338678, 0.9145445652173914, 0.9051009950248757, 0.918101052631579, 0.9106902339776196, 0.9139879759519038, 0.908096, 0.9136163655685441, 0.8862037037037037]","[0.934, 0.933, 0.889, 0.937, 0.911, 0.927, 0.939, 0.936, 0.902, 0.97]","[0.9410579345088163, 0.9339339339339341, 0.9260416666666668, 0.9346633416458854, 0.9343589743589745, 0.9349470499243571, 0.9399399399399399, 0.936, 0.9294178258629573, 0.9326923076923077]",0.9348000000000001,0.909471496814654,0.9278000000000001,0.9343052974533841
ResNet10,airplane-ship,"[0.8635, 0.846, 0.8605, 0.8525, 0.848, 0.8535, 0.8545, 0.7975, 0.8565, 0.8525]","[0.808434803451582, 0.7793197158081705, 0.8219732824427481, 0.8120491803278689, 0.7849010989010989, 0.7958751191611058, 0.7986705314009661, 0.7735825105782792, 0.794528362305581, 0.8189092996555682]","[0.885, 0.909, 0.819, 0.81, 0.894, 0.878, 0.872, 0.652, 0.903, 0.788]","[0.8663729809104258, 0.8551269990592663, 0.8544600938967136, 0.8459530026109661, 0.8546845124282983, 0.8570034163006345, 0.8570024570024569, 0.7630193095377413, 0.862876254180602, 0.8423303046499198]",0.8484999999999999,0.7988243904032968,0.841,0.8458829330577025
ResNet10,airplane-truck,"[0.92, 0.917, 0.922, 0.8905, 0.925, 0.9145, 0.9215, 0.9235, 0.912, 0.9155]","[0.9038461538461539, 0.8942788461538461, 0.8761985157699443, 0.8744394829612221, 0.8871856866537717, 0.8886758183738119, 0.8772563261480786, 0.8870698924731183, 0.8861953290870489, 0.8798738783649053]","[0.875, 0.885, 0.961, 0.816, 0.942, 0.888, 0.955, 0.935, 0.883, 0.917]","[0.9162303664921465, 0.9142561983471074, 0.9249278152069298, 0.8816855753646677, 0.9262536873156342, 0.9121725731895223, 0.9240445089501693, 0.9243697478991596, 0.9093717816683833, 0.9156265601597604]",0.91615,0.8855019929831901,0.9057000000000001,0.914893881459348
ResNet10,automobile-bird,"[0.9675, 0.97, 0.9605, 0.963, 0.9565, 0.96, 0.962, 0.958, 0.9585, 0.964]","[0.9495014807502468, 0.9563426853707415, 0.9420984015984015, 0.9462985971943887, 0.9276684210526316, 0.9338535645472061, 0.9431709741550696, 0.9443634496919917, 0.9351483839373163, 0.9460119284294235]","[0.974, 0.969, 0.961, 0.962, 0.979, 0.979, 0.965, 0.945, 0.969, 0.967]","[0.9677098857426726, 0.96996996996997, 0.960519740129935, 0.9629629629629629, 0.9574572127139366, 0.9607458292443571, 0.9621136590229311, 0.9574468085106382, 0.9589312221672439, 0.9641076769690927]",0.9620000000000001,0.9424457886727418,0.967,0.962196496743374
