Architecture,Classes,Accuracy_vector,Precision_vector,Recall_vector,F1_vector,Accuracy_avg,Precision_Avg,Recall_Avg,F1_avg
SmallSqueezeNet,airplane-automobile,"[0.9635, 0.963, 0.9655, 0.9425, 0.914, 0.9245, 0.7865, 0.909, 0.502, 0.922]","[0.9442448071216618, 0.9445904572564613, 0.9466594274432378, 0.9044176800748362, 0.9076978922716628, 0.888398826979472, 0.7835615384615384, 0.8579688073394495, 0.5016666666666667, 0.9049912854030501]","[0.969, 0.966, 0.972, 0.977, 0.841, 0.936, 0.579, 0.954, 0.005, 0.881]","[0.9636996519144705, 0.963110667996012, 0.9657228017883756, 0.9444175930401161, 0.90722761596548, 0.9253583786455758, 0.7305993690851734, 0.9129186602870812, 0.009940357852882702, 0.9186652763295098]",0.8792499999999999,0.8584197389018037,0.808,0.8241660372904678
SmallSqueezeNet,airplane-bird,"[0.9105, 0.9145, 0.894, 0.892, 0.876, 0.895, 0.8685, 0.8865, 0.8925, 0.876]","[0.8696502439024391, 0.8785463609172484, 0.8718153153153154, 0.8359489981785064, 0.8098758620689654, 0.8425046468401487, 0.8567941550190598, 0.8458365679264555, 0.8510804020100502, 0.8380806794055202]","[0.923, 0.916, 0.838, 0.941, 0.956, 0.933, 0.762, 0.876, 0.89, 0.847]","[0.911604938271605, 0.9146280579131304, 0.8877118644067796, 0.8970448045757865, 0.8851851851851851, 0.8988439306358381, 0.8528259653049803, 0.8852956038403234, 0.8922305764411028, 0.8722966014418126]",0.8905499999999998,0.8500133231583709,0.8882,0.8897667528016544
SmallSqueezeNet,airplane-cat,"[0.9375, 0.95, 0.9115, 0.944, 0.9215, 0.922, 0.889, 0.9105, 0.7335, 0.9265]","[0.9065873405299314, 0.9266932270916335, 0.9015098265895953, 0.9175714285714286, 0.868672, 0.9066967032967033, 0.8199734660033168, 0.874948136958711, 0.6956534008683068, 0.9065573857598299]","[0.947, 0.952, 0.844, 0.948, 0.984, 0.877, 0.992, 0.907, 0.579, 0.897]","[0.9380881624566618, 0.9500998003992016, 0.9050938337801607, 0.9442231075697212, 0.9261176470588235, 0.9183246073298429, 0.899365367180417, 0.9101856497742098, 0.6848018923713778, 0.9242658423493044]",0.9046000000000001,0.8724862915669457,0.8926999999999999,0.9000565910269721
SmallSqueezeNet,airplane-deer,"[0.9495, 0.9545, 0.8425, 0.945, 0.9035, 0.938, 0.938, 0.934, 0.895, 0.8945]","[0.927408224674022, 0.9332023928215354, 0.841013024602026, 0.9266494845360824, 0.842712987012987, 0.9081952662721893, 0.915561475409836, 0.9115826446280992, 0.8832440476190476, 0.8836335329341318]","[0.948, 0.956, 0.688, 0.93, 0.981, 0.945, 0.926, 0.918, 0.815, 0.812]","[0.9494241362043063, 0.9545681477783324, 0.8137196924896509, 0.9441624365482233, 0.9104408352668213, 0.9384309831181727, 0.9372469635627529, 0.9329268292682927, 0.8858695652173912, 0.8850136239782017]",0.91945,0.8973203080509956,0.8918999999999999,0.9151803213432144
SmallSqueezeNet,airplane-dog,"[0.9525, 0.963, 0.9275, 0.9535, 0.917, 0.96, 0.942, 0.947, 0.924, 0.9415]","[0.9337031408308004, 0.9458689999999998, 0.8759117125110913, 0.9297729516288253, 0.8591837088388214, 0.9390909090909091, 0.9159740518962076, 0.9269714867617107, 0.876329067641682, 0.9131707798617966]","[0.946, 0.963, 0.991, 0.96, 0.994, 0.966, 0.943, 0.938, 0.971, 0.948]","[0.9521892299949672, 0.963, 0.9318288669487541, 0.9538002980625931, 0.9229340761374186, 0.9602385685884691, 0.942057942057942, 0.9465186680121089, 0.9274116523400191, 0.9418777943368107]",0.9427999999999999,0.9115976809061846,0.962,0.9441857096479083
SmallSqueezeNet,airplane-frog,"[0.9705, 0.967, 0.961, 0.9655, 0.9595, 0.9675, 0.951, 0.959, 0.9585, 0.9145]","[0.954211671612265, 0.9507201195219124, 0.9400867850098619, 0.9421125603864735, 0.9411016016016016, 0.9556345177664974, 0.9249127450980392, 0.9466969072164948, 0.9413814328960646, 0.8573026200873364]","[0.976, 0.969, 0.968, 0.983, 0.959, 0.96, 0.961, 0.944, 0.954, 0.987]","[0.9706613625062158, 0.967065868263473, 0.9612711022840118, 0.966093366093366, 0.9594797398699348, 0.9672544080604534, 0.9514851485148514, 0.9583756345177664, 0.958312405826218, 0.9202797202797204]",0.9574,0.9354160961196547,0.9661,0.9580278756216012
SmallSqueezeNet,airplane-horse,"[0.953, 0.9605, 0.9585, 0.96, 0.9255, 0.921, 0.931, 0.932, 0.9315, 0.921]","[0.9325331325301205, 0.9416759720837488, 0.9418104145601618, 0.948595041322314, 0.8725472197705207, 0.9156400462962963, 0.9148143776824034, 0.8856581818181818, 0.9161722282023681, 0.9142252873563219]","[0.951, 0.962, 0.953, 0.944, 0.992, 0.853, 0.897, 0.982, 0.896, 0.856]","[0.9529058116232464, 0.9605591612581128, 0.9582704876822524, 0.959349593495935, 0.9301453352086263, 0.9152360515021459, 0.9285714285714285, 0.9352380952380952, 0.9289787454639711, 0.9155080213903743]",0.9394,0.9183671901622438,0.9286,0.9384762731434189
SmallSqueezeNet,airplane-ship,"[0.9275, 0.8975, 0.9005, 0.5, 0.826, 0.518, 0.56, 0.614, 0.6805, 0.6045]","[0.8955970149253731, 0.8488034188034188, 0.8644263050153531, 0.5, 0.7692759999999998, 0.5109285714285714, 0.536923076923077, 0.5698928571428572, 0.6176513877207739, 0.5661611464968153]","[0.93, 0.924, 0.889, 1.0, 0.826, 0.102, 0.32, 0.618, 0.775, 0.497]","[0.9276807980049875, 0.9001461276181199, 0.8993424380374304, 0.6666666666666666, 0.826, 0.17465753424657535, 0.4210526315789474, 0.6155378486055777, 0.7080858839652809, 0.5568627450980392]",0.70285,0.667965977845624,0.6881,0.6696032673821626
SmallSqueezeNet,airplane-truck,"[0.951, 0.935, 0.944, 0.9375, 0.929, 0.925, 0.934, 0.5, 0.5, 0.8525]","[0.9276878727634195, 0.9048514851485149, 0.9183505976095617, 0.9179240374609783, 0.8967188118811882, 0.9018343815513628, 0.9016627450980392, 0.5, 0.5, 0.7981894013738959]","[0.954, 0.94, 0.946, 0.918, 0.934, 0.902, 0.944, 1.0, 1.0, 0.862]","[0.9511465603190429, 0.9353233830845772, 0.9441117764471058, 0.9362570117287099, 0.9293532338308458, 0.9232343909928352, 0.9346534653465346, 0.6666666666666666, 0.6666666666666666, 0.8538880633977216]",0.8408000000000001,0.8167219332886961,0.9400000000000001,0.8741301218480706
SmallSqueezeNet,automobile-bird,"[0.9625, 0.976, 0.969, 0.9675, 0.971, 0.958, 0.911, 0.9525, 0.5, 0.904]","[0.9445164506480559, 0.9623326732673267, 0.9566828282828284, 0.9499282888229477, 0.9483992322456813, 0.9448065843621399, 0.908043165467626, 0.9221889952153111, 0.5, 0.870611570247934]","[0.964, 0.981, 0.964, 0.973, 0.992, 0.944, 0.828, 0.975, 0.0, 0.888]","[0.962556165751373, 0.9761194029850746, 0.9688442211055277, 0.9676777722526106, 0.9715964740450538, 0.9574036511156186, 0.9029443838604144, 0.9535452322738386, 0.0, 0.9024390243902439]",0.90715,0.8907509788559851,0.8509,0.8563126327779755
