Architecture,Classes,Accuracy_vector,Precision_vector,Recall_vector,F1_vector,Accuracy_avg,Precision_Avg,Recall_Avg,F1_avg
MiniVGG1,airplane-automobile,"[0.97550000000000003, 0.97050000000000003, 0.97650000000000003, 0.97550000000000003, 0.97150000000000003, 0.97399999999999998, 0.96450000000000002, 0.97150000000000003, 0.97199999999999998, 0.96750000000000003]","[0.96317397806580263, 0.95639910089910085, 0.96598545636910726, 0.9613902077151335, 0.95434611602753194, 0.95945148514851475, 0.94608572844400385, 0.9565168818272094, 0.95527559055118105, 0.94739247311827968]","[0.97699999999999998, 0.97099999999999997, 0.97499999999999998, 0.98099999999999998, 0.97999999999999998, 0.97899999999999998, 0.96899999999999997, 0.97499999999999998, 0.97999999999999998, 0.97899999999999998]","[0.97553669495756368, 0.97051474262868564, 0.97646469704556837, 0.97563401292889107, 0.97174020823004459, 0.97412935323383076, 0.96465903434544542, 0.97159940209267559, 0.9722222222222221, 0.96786950074147304]",0.9719,0.9566017018170001,0.9766,0.9720369868430001
MiniVGG1,airplane-bird,"[0.92149999999999999, 0.92000000000000004, 0.92349999999999999, 0.91700000000000004, 0.93000000000000005, 0.90349999999999997, 0.92900000000000005, 0.91149999999999998, 0.92549999999999999, 0.91100000000000003]","[0.88043696275071626, 0.87799999999999989, 0.89346453900709222, 0.87732427184466033, 0.89770750988142289, 0.84698840321141833, 0.90541390041493774, 0.85843913435527508, 0.88600382775119613, 0.86104419889502759]","[0.94499999999999995, 0.94499999999999995, 0.91700000000000004, 0.93200000000000005, 0.93600000000000005, 0.96399999999999997, 0.91100000000000003, 0.96599999999999997, 0.94799999999999995, 0.95399999999999996]","[0.92330239374694667, 0.92195121951219505, 0.92299949672873682, 0.9182266009852218, 0.93041749502982118, 0.90900518623290905, 0.92769857433808556, 0.91607396870554769, 0.92713936430317834, 0.91466922339405565]",0.91925,0.8784822748109999,0.9418,0.921148352298
MiniVGG3,airplane-cat,"[0.96350000000000002, 0.95850000000000002, 0.95750000000000002, 0.95799999999999996, 0.94699999999999995, 0.94699999999999995, 0.95399999999999996, 0.95150000000000001, 0.94750000000000001, 0.91700000000000004]","[0.94985380710659895, 0.93158132820019246, 0.93255355404089579, 0.93225968992248065, 0.91129041353383466, 0.91452198852772459, 0.92987007874015748, 0.92232883317261327, 0.91465204957101998, 0.86184126984126974]","[0.95599999999999996, 0.97799999999999998, 0.97099999999999997, 0.97399999999999998, 0.97899999999999998, 0.96999999999999997, 0.96199999999999997, 0.96999999999999997, 0.97199999999999998, 0.98399999999999999]","[0.96322418136020149, 0.95929377145659633, 0.95806610754810073, 0.95866141732283461, 0.9486434108527132, 0.94819159335288361, 0.95436507936507942, 0.95238095238095233, 0.94875549048316243, 0.92221180880974685]",0.95015,0.920075301266,0.9716,0.951379381293
MiniGoogLeNet1,airplane-deer,"[0.96450000000000002, 0.97099999999999997, 0.96250000000000002, 0.96399999999999997, 0.96350000000000002, 0.95999999999999996, 0.96750000000000003, 0.96099999999999997, 0.96299999999999997, 0.95950000000000002]","[0.94996972754793141, 0.957341, 0.94241115498519257, 0.93941425818882451, 0.94636763236763233, 0.94724845995893214, 0.94823110893032392, 0.94387449799196776, 0.94716297786720316, 0.93776995073891611]","[0.95999999999999996, 0.97099999999999997, 0.96899999999999997, 0.98299999999999998, 0.96399999999999997, 0.94699999999999995, 0.97699999999999998, 0.95899999999999996, 0.95999999999999996, 0.96699999999999997]","[0.96433952787543942, 0.97099999999999997, 0.96274217585692989, 0.9646712463199214, 0.96351824087956017, 0.95947315096251251, 0.96780584447746398, 0.96092184368737465, 0.96288866599799383, 0.95980148883374672]",0.96365,0.945979076858,0.9657,0.963716218489
MiniGoogLeNet1,airplane-dog,"[0.97050000000000003, 0.96799999999999997, 0.96999999999999997, 0.95899999999999996, 0.95899999999999996, 0.96850000000000003, 0.95750000000000002, 0.96799999999999997, 0.96850000000000003, 0.96350000000000002]","[0.95684184184184184, 0.95795092024539885, 0.96320247933884295, 0.93130172413793111, 0.95458653846153851, 0.95528952668680756, 0.94977032734952493, 0.95479032258064522, 0.95983299075025696, 0.95299845520082394]","[0.96999999999999997, 0.95699999999999996, 0.95399999999999996, 0.98099999999999998, 0.92700000000000005, 0.96499999999999997, 0.93100000000000005, 0.96399999999999997, 0.95499999999999996, 0.94899999999999995]","[0.97048524262131075, 0.96764408493427712, 0.96951219512195119, 0.95988258317025443, 0.95764462809917361, 0.9683893627696939, 0.95634309193631228, 0.96787148594377526, 0.96806893056259502, 0.96296296296296291]",0.96525,0.953656512659,0.9553,0.964880456812
MiniGoogLeNet1,airplane-frog,"[0.97950000000000004, 0.97150000000000003, 0.96550000000000002, 0.91300000000000003, 0.97199999999999998, 0.97099999999999997, 0.97550000000000003, 0.96799999999999997, 0.96899999999999997, 0.97099999999999997]","[0.96807199602780525, 0.95221762414800404, 0.94415512195121942, 0.91052990430622016, 0.957455268389662, 0.95214160156249994, 0.96272537313432827, 0.94999999999999996, 0.95986987704918025, 0.96003542510121465]","[0.98299999999999998, 0.98499999999999999, 0.97799999999999998, 0.83099999999999996, 0.97499999999999998, 0.98299999999999998, 0.97799999999999998, 0.97499999999999998, 0.95699999999999996, 0.96499999999999997]","[0.97957149975087199, 0.97187962506166758, 0.96592592592592585, 0.90522875816993464, 0.97208374875373882, 0.9713438735177865, 0.9755610972568578, 0.96822244289970205, 0.96862348178137647, 0.97082494969818911]",0.9656,0.951720219167,0.961,0.964926540282
MiniVGG3,airplane-horse,"[0.97750000000000004, 0.97650000000000003, 0.97099999999999997, 0.97099999999999997, 0.96899999999999997, 0.96099999999999997, 0.94699999999999995, 0.95999999999999996, 0.96299999999999997, 0.95399999999999996]","[0.96744232698094279, 0.96283184965380808, 0.95171929824561396, 0.95256555772994134, 0.94846984435797665, 0.93563610038610046, 0.90748618784530388, 0.93385356454720614, 0.94586899999999985, 0.92405162523900586]","[0.97599999999999998, 0.98199999999999998, 0.98399999999999999, 0.98199999999999998, 0.98299999999999998, 0.97899999999999998, 0.98999999999999999, 0.97899999999999998, 0.96299999999999997, 0.97699999999999998]","[0.9774661992989484, 0.97662854301342605, 0.97137216189536024, 0.97131552917903075, 0.96942800788954642, 0.96168958742632615, 0.9491850431447747, 0.96074582924435714, 0.96299999999999997, 0.95503421309872927]",0.965,0.942992535499,0.9795,0.965586511419
MiniVGG3,airplane-ship,"[0.94099999999999995, 0.94850000000000001, 0.94450000000000001, 0.93000000000000005, 0.94550000000000001, 0.93600000000000005, 0.92800000000000005, 0.92900000000000005, 0.92549999999999999, 0.92900000000000005]","[0.90931650485436888, 0.92282082922013808, 0.9220278058645095, 0.89244721689059503, 0.91600243427458627, 0.90078461538461529, 0.89978498985801214, 0.88714634146341464, 0.89730682976554532, 0.89780776892430281]","[0.95599999999999996, 0.95499999999999996, 0.93899999999999995, 0.95099999999999996, 0.95899999999999996, 0.95599999999999996, 0.92100000000000004, 0.96199999999999997, 0.91600000000000004, 0.93100000000000005]","[0.94187192118226604, 0.94883258817685046, 0.94419306184012064, 0.93143976493633684, 0.94622594967932905, 0.93725490196078431, 0.9274924471299093, 0.93126815101645688, 0.92478546188793542, 0.92914171656686639]",0.9357,0.90454453365,0.9446,0.936250596438
MiniVGG3,airplane-truck,"[0.95850000000000002, 0.95699999999999996, 0.95750000000000002, 0.95299999999999996, 0.95999999999999996, 0.95450000000000002, 0.92900000000000005, 0.91849999999999998, 0.9425, 0.94699999999999995]","[0.93514838393731625, 0.92970327552986509, 0.92942713326941506, 0.9215655893536121, 0.9374509803921568, 0.92996859666339549, 0.87941129032258059, 0.86274890446976338, 0.90649716177861861, 0.92172321428571435]","[0.96899999999999997, 0.97599999999999998, 0.97899999999999998, 0.97899999999999998, 0.96999999999999997, 0.96399999999999997, 0.98699999999999999, 0.98899999999999999, 0.97099999999999997, 0.95099999999999996]","[0.95893122216724391, 0.95780176643768389, 0.95839451786588348, 0.95419103313840148, 0.96039603960396036, 0.95492818226844967, 0.93289224952741023, 0.92386735170481071, 0.94409333981526489, 0.94721115537848599]",0.94775,0.915364453,0.9735,0.9492706857909999
MiniGoogLeNet1,automobile-bird,"[0.98299999999999998, 0.98050000000000004, 0.97950000000000004, 0.98150000000000004, 0.97699999999999998, 0.97399999999999998, 0.97650000000000003, 0.97450000000000003, 0.96650000000000003, 0.97650000000000003]","[0.97247920792079201, 0.96861819980217601, 0.96582694198623398, 0.96916600985221679, 0.96288757396449698, 0.95386872586872584, 0.95847526673132877, 0.95907290640394083, 0.94230115273775206, 0.96063222331047982]","[0.98799999999999999, 0.98599999999999999, 0.98799999999999999, 0.98899999999999999, 0.98399999999999999, 0.99199999999999999, 0.99199999999999999, 0.98199999999999998, 0.98699999999999999, 0.98699999999999999]","[0.98308457711442776, 0.98060666335156632, 0.97967278135845315, 0.98163771712158809, 0.97715988083416072, 0.97445972495088418, 0.97685869030034467, 0.97468982630272949, 0.96717295443410078, 0.97674418604651159]",0.97695,0.9613328208580001,0.9875,0.9772087001809999
